,isEdited,developerResponse,review,title,date,rating,userName,country
10,False,"{'id': 26063919, 'body': 'Hello. Thank you for bringing this to our attention. Please reach us at customer_satisfaction@feverup.com so we can properly assist you.', 'modified': '2021-11-03T17:41:03Z'}","The app is fundamentally flawed by no apparent way to add multiple tickets to your order. yes, there may be a group or family ticket option, but this is more expensive if there are only two of you and potentially excludes someone else from an event. 

I tried to book tickets for a very popular event. Family tickets were still available, indicating that there would be at least one adult and one child ticket available. But, in the time it took me to book on ticket (remember, no way to add a second of a different type to the order), the event had sold out, rendering my single ticket useless.

I was promised an exchange voucher which did not materialise.",Fundamentally flawed and poor customer service,2021-11-02 10:37:58,1,F50ltd,GB
11,False,"{'id': 27180091, 'body': 'Hello! We regret to hear that your experience with us has not been positive. Thank you very much for your feedback. We will make sure to forward it to the appropriate department for them to take it into account moving forward :)', 'modified': '2022-01-01T19:42:20Z'}","The website for a large event event in Brussels redirects to Fever to buy tickets.   As far as I could see, Fever wouldn’t let me use a basket to collect a set of different ticket types and each required a separate transaction.  Be careful, as the date and time for the ticket resets each time and it would be too easy to buy a ticket for the wrong time.  Once purchased there was no option to have the tickets delivered by email alone.  The receipt only allows download of tickets by forcing you to download the Fever app.  The App itself may turn out to be just fine, but I really didn’t like the way Fever compels you to download the app to get the tickets.","Annoying, Over-controlling App.",2021-12-30 12:09:08,1,CFFH!€,GB
12,False,"{'id': 28131960, 'body': 'Hey there! Thank you for such a positive review, it has been an honor to host you. We hope that you find new great plans in the Fever App for the future!', 'modified': '2022-02-18T15:27:47Z'}","Bought tickets on here, really easy to use. The exhibition was really good, immersive, emotional and interesting. I think the pricing was reasonable. I found the overall value and ease of use of Fever to be good and I’d recommend it. 
There are loads of events on Fever I haven’t even seen advertised elsewhere, so I wouldn’t even know about them unless I had this app. Very useful for ideas when stuck for things to do.",Titanic Exhibition London,2022-02-11 23:06:21,5,Caz13£?;!@8(:,GB
13,False,"{'id': 23824911, 'body': 'Hello Red! We regret to hear that your experience with us has not been positive. Please, contact our Customer Satisfaction department at customer_satisfaction@feverup.com so we can reopen your case and exploring all the solutions for your case. We apologize for the inconvenience!\n\nFever Team', 'modified': '2021-07-08T16:03:09Z'}","This app is garbage. Yeah it’s great for taking your money and suggesting you places to go, but it does not include a calendar, does not send reminders or notifications and does not confirm if the event is really taking place and how to get there. It’s a marketing and payment system masquerading as a booking website… I didn’t receive any confirmation, reminder or notification about a £70 concert so I guess it will be up to you to mark it down on your calendar and contact the venue/organiser for details and updates. When I complained about it their “customer service” (who took 2 weeks to reply) just said thank you with a smiley and closed the issue…",Buyer beware!,2021-07-06 08:47:02,1,Red Lionfish,GB
14,False,"{'id': 14534398, 'body': 'Hi, \n\nWe are very sorry for the inconveniences, can you please email us at hello@feverup.com? We appreciate your feedback and would like to ask you for more details. \n\nKind regards,\n', 'modified': '2020-04-08T07:01:49Z'}","I never usually write reviews at all but feel compelled to. I booked an event from Fever. First, the event time changed 1 week before the event to 6pm instead of 7pm which caused difficulties in scheduling. Second, the event then started late at 7:15pm after rushing to get there at the earlier start date. The speaker really wasn’t worth the money and the organisation of the event was terrible - lack of staff at the venue and nobody responsible on the day who ticket holders could turn to. Tried to raise things with customer services, ignored all of my emails and then sent one saying that there was nothing they were willing to do - not even an apology. To avoid disappointment, don’t bother.",Not worth it.,2020-04-03 19:02:42,1,ngie9821,GB
15,False,"{'id': 16262996, 'body': ""Hi Marie,\nThank you so much for your 5 stars! We are glad that you enjoyed this talk. The app is updated daily, so don't forget to check out all the amazing new plans we found for you! :) Thanks for using Fever!\nKind regards,\nFever Team\r"", 'modified': '2020-06-28T11:14:49Z'}","This was a really excellent talk. Please keep more of these online talks going as the new, post covid ‘normal’. 
I love things like this & have been able to listen to a lot more talks on various topics since lockdown. 
It’s more financially viable for lots of people who live in the burbs as often travel costs time mixed with work commitments prevent people attending. 
Streaming has to be the way forward for so many of the arts now.",Serial killer online talk with Adam and Chris,2020-06-25 19:39:34,5,marieh1973,GB
16,False,,Cannot fault the customer service . I booked the wrong tickets . Sent a message not really expecting a response. However the response was immediate & couldn’t be more helpful . Cancelled my tickets gave me a voucher to re purchase the correct tickets . My only gripe is that it is easy to purchase the wrong tickets the way the App presents them . Definitely use again but will more attention to what I’m ordering,Excellent Customer Service,2018-08-29 20:29:13,5,michgard,GB
17,False,,"I never write reviews for anything but I felt compelled to write this one. I’ve never used the app before, had it for absolutely ages though but last week I spotted a competition running for some free tickets and thought why the hell not. To cut to the chase, I was slightly confused by an email they sent and I contacted their customer support to clarify, I was polite and grateful for their prompt response BUT the rep was on full defence mode. She spoke to me like I was the dumbest thing on the planet or I’d personally offended her by asking her to clarify something. No manners whatsoever, customer service is the heart of any organisation and a bad rep can ruin a company - please focus on training your reps.",Poor customer service,2017-12-16 23:05:50,1,🕶🕶🕶👓,GB
18,False,"{'id': 26722732, 'body': ""Thank you for your 5-star review! We're very glad to hear that your experience with our customer service was more than positive :)"", 'modified': '2021-12-08T21:41:36Z'}","I wanted to write a review as I find it extremely rare these days that the customer service for an app/company is this great! Honestly, whenever I have a problem with a booking, usually down to me…I’ve had nothing but helpful and prompt help and advice. The team is excellent and I couldn’t recommend using the app more!!",Excellent customer service,2021-12-07 16:23:38,5,hannahreder89,GB
19,False,,"My event was cancelled due to storm.  Which is fair.  they issued a voucher but they charged AGAIN extra from booking fee (totalled nearly £40).  My friend wasn’t able to get the same ticket as me for the future event, had to go tier lower, even though the app didn’t mention.  There was a -£60 difference in the price between tiers but didn’t give her the money back!  So not only did they charge an additional fee we paid with the original tickets they stole £50 of her money!! Poor show.  Shame that this is the only provider of tickets.  Avoid if possible!",Poor flexibility and customer service.,2022-02-20 17:21:32,1,Dinkyelf,GB
20,False,"{'id': 22938728, 'body': 'Hello! Thank you very much for your review! We are very glad you have enjoyed the experience with our Fever app. We are always working to bring you new and original experiences (: All the best!', 'modified': '2021-05-21T13:37:04Z'}",Didn’t realise so much went on in Liverpool that I was unaware of. I can now start organising events with close friends and we all know what’s going on! I left social media last year so have been a bit out of the loop with them so now I can send invites to things I know we can all meet up to. Love this app it’s so informative and easy to use.,Opened my eyes !!!,2021-05-15 10:49:37,5,Jones R S,GB
21,False,"{'id': 28180483, 'body': 'Hi,\n\nThanks for contacting Fever today 😊\n\nThanks for being part of the Fever family!', 'modified': '2022-02-21T23:25:50Z'}","I think quite possibly the worst customer experience I’ve ever received. Fever decided to move the event (not me) and not email to notify me. I had 0 communication and had to find out myself via chat. At that point no one notified me about the ability to refund. All I could get was an exchange voucher. Trying to exchange for like for like event price and now they’re deciding to charge £6.80 per ticket booking fee. Why am I paying extra for something when it wasn’t my decision to move the event? Your decision to move the event, so we should not be out of pocket.","If I could give it 0, I would.",2022-02-17 14:21:31,1,Dhhegj,GB
22,False,,"I booked tickets to an event in August - but due to Corona the event was rescheduled. I cannot attend the new date as I’m away and I have been trying to get in touch with Fever to arrange a refund for the last three weeks - I have emailed, messaged on live chat in the app and also sent messages on Facebook. While I appreciate that they have a lot of people to speak to the lack of communication is disappointing - and they have simply assumed everyone is available on the new date. Won’t be booking tickets via Fever again given the extremely poor customer service.",No customer service,2020-09-12 09:27:31,1,michellelondon132693,GB
23,False,"{'id': 24908214, 'body': 'Hello!. From the whole Fever Team, we want to thank you for your kind review that shows up the correct path to follow when it comes to helping our customers out. See you again very soon ![](https://backend.growthdot.com/api/mail-tracking/resources/2640242_6bae6093-4e14-4dc8-89d1-2687dfb88017.gif)\n\nFever Team', 'modified': '2021-09-04T16:28:17Z'}",The event I booked had to be rescheduled but unfortunately the alternative date was 2 months too late as I booked it for my wife’s birthday so I needed a refund so I could do something else for her birthday. The customer service team were very helpful and refunded me quickly. I’m sure I will book another event in the future. Thank you fever,Reschedule of event,2021-09-02 20:21:38,5,giraffe A-B,GB
24,False,"{'id': 13993695, 'body': ""Hello Ramona,\nWe are sorry you think this way. :( \nWe always do our best to help our users, so please don't hesitate to contact us at hello@feverup.com, by chat or phone in case you need help with anything.\nBest regards,\nFever Team"", 'modified': '2020-03-11T22:19:23Z'}","No customer awareness or any care for customers . There are some pretty good events, however i’d much rather look into fun things to do in london myself than pay anything through this platform . The moment you ask for help, the level o service drops dramatically . Avoid at all costs to use this app as you’ll be treated like sh&t after you’ve spend your money on an event . I cannot stress this enough for everyone to understand: they do not have any customer service, customer service experience or care - avoid this app at all costs .",No customer service,2020-03-05 16:29:27,1,Ramona J.A.,GB
25,False,,Earlier today I purchased a ticket for my friend’s birthday event and it turns out it was the last one- she couldn’t even book on! I panicked and messaged Fever to see if anything could be done and within an hour they got back to me and allowed me a refund. We’re now booked onto the same event two weeks later. Thanks Fever!,Excellent customer service,2018-03-01 16:45:35,5,Miranda J Black,GB
26,False,"{'id': 24067576, 'body': ""Thank you for your 5-star review! We're happy to hear that our agents were able to assist you to your satisfaction 😊\u200b\n\nFever Team"", 'modified': '2021-07-22T10:19:01Z'}",I booked one of the candlelight string quartet events but my husband was hospitalised the same day and I was so upset at not being able to take him as it was his birthday present. The events support team were just amazing. They gave me a voucher to reuse on the website at any event. I’m so pleased and can’t wait to rebook!,Great selection of good events,2021-07-20 06:19:54,5,Brownieab93,GB
27,False,,I purchased a ticket via Facebook and another via my Google account. One of the tickets didn’t show in the Fever app so I emailed their support team... assuming it will take a couple of days to get a response. I was wrong! Within an hour they made contact and resolved my issue. The Fever app is easy to use so I’ll keep it.,Super support,2018-03-07 17:42:36,5,Jo J.,GB
28,True,"{'id': 24255271, 'body': 'Hello! Unfortunately, users are unable to log into their Fever account through the website. In order to access your specific account, you must log in through the app. We apologize for the inconvenience!\n\nFever Team', 'modified': '2021-08-04T10:15:52Z'}",It appears that you can login to the website to purchase a ticket using any email but you have to have a Facebook or gmail account to log into the app and view the ticket. It’s a bit of an oversight really! That is no way ringer your ticket as far as I can see so if you purchase a ticket make sure you use a Google or Facebook login and don’t use the email address login option on their website.,No email login option,2021-08-02 17:01:27,2,#missingnickname,GB
29,False,"{'id': 21564383, 'body': 'Thank you so much for this 5-star review. We really appreciate you being a customer and helping to share the word about us. We’re here for you anytime!', 'modified': '2021-03-10T11:33:13Z'}","the app offers such great variety of events and they are all so well tailored to my personal interests! In addition, due to the lockdown, some events were canceled and dates were pushed back but the process of repurchasing a ticket for free was so smooth and easy! It took 2 clicks and I had booked the new dates! Love it!",Love the app!,2021-02-24 11:19:23,5,yananaydenova,GB
30,False,"{'id': 25485264, 'body': ""Hello, Katrin. We're glad that you found our assistance worthy of a 5-star review. We will share it with the whole team to let them know that this is the way to go. Thanks for using Fever. ![](https://backend.growthdot.com/reply-after-this/3018184_2fb9f51a-5954-4626-a7b3-e6694cd298d1.gif)\n\nFever Team"", 'modified': '2021-10-04T15:42:24Z'}",I like the app I think it’s great but their customer service is outstanding I had to change tickets many times due to unforeseen circumstances and they were always helpful. My problems were solved in minutes.,Best customer service I’ve ever seen,2021-10-03 09:18:06,5,KatrinKreisch,GB
31,False,,"Random Followers Feature should NOT be an Automatic function!!! Deleting App!!!

App Developers - take note that the Random Followers Feature should NOT be an Automatic function!!!

Why would you allow such a function!!! I used my FB profile as my login which I have locked down for a reason & now I have RANDOM UNKNOWN followers following me!!! Without any ability whatsoever to be able to stop!!!

I understand why you may wish to share an event with KNOWN Friends who use the app ... but why would you just allow ANY RANDOM STRANGER to follow someone without giving them the option to choose “No I do not know this person & no I do NOT want them following me!!!”

Great app for buying tickets & checking out what’s on but this “Followers” Feature i think is an invasion of privacy & should NOT be allowed!!!

DELETING App!!!",Random Followers Feature should NOT be an Automatic function!!!,2017-12-27 20:01:11,1,LMB UK,GB
32,False,,The venue web site transferred my booking to a different day / different event on purchase as original selection was sold out - View from the Shard - their web site is very poor. I was really cross that they had not made the change in date clearer. However Fever agreed to process a refund for me.,Refunded - great customer service,2018-08-25 15:39:09,5,Surbsgirl,GB
33,False,,"If you’re looking for loads of activities to do and cool things to find across cities worldwide, this is the app for you. Searching and booking is really easy, and the customer support resolves any issues rapidly. I will recommend this app to all.",Brilliant app and great customer service,2021-09-11 21:24:46,5,Matty183,GB
34,False,,I had an amazing cocktail experience booked last year but sadly due to the virus it got cancelled!! The team was very helpful and answered all my questions and refund options very quickly!!! Can’t wait to book my next night out soon,Very helpful!!!,2021-09-07 18:11:27,5,Sass tender,GB
35,False,"{'id': 27180313, 'body': 'Hello! We regret to hear that your experience with us has not been positive. Feel free to reach us at customer_satisfaction@feverup.com so we can take a closer look at your case and properly assist you. We apologize for the inconvenience!', 'modified': '2022-01-01T20:17:10Z'}","Unable to purchase a mixture of tickets, I purchased a large family ticket , but also needed a ticket for my 18 year old so needed to add an adult ticket, unable to do this in same transaction, then when I tried to purchase this was unable to do so as date was sold out! When I queried this I was told they don’t have a cart function yet! Live chat was good, however I had 3 very upset children as we didn’t bother trying to rebook event for fear the same thing would happen.",Poor App,2021-12-31 11:47:14,1,Megyeggy,GB
36,False,"{'id': 8496547, 'body': 'Hi Chiara, Thank you very much for your 5 stars! We are glad to see that you enjoy our app, and we take into account everything you suggested in order to keep improving it. :) Thanks for using Fever! Kind regards,  Fever Team', 'modified': '2019-05-03T13:49:40Z'}","Amazing! I love the app because it gives you plenty of choices and it is absolutely easy to use. Perhaps to add more cities would be great, e.g. Amsterdam! And also more concerts around the cities, for example not just the ones that take place in pubs etc.. but also the big stuff.. Thank youuu",Plenty of choices!,2019-04-29 08:13:42,5,chiara976,GB
37,False,,"I’ve only used fever for one event but sadly the “Candellit ballet” was a disappointment with only 15 minutes of ballet with most time being spend listening to a string quartet. Our performance was sadly ruined by another event next door causing a lot of noise which I appreciate is unfortunate for the event planners. However, no apology was issued and no refund issued either. Sadly, customer service has been poor and I won’t be going to an event through Fever again.","Poor show, poor customer service",2021-09-11 21:07:05,1,alexy1993,GB
38,False,,"Realised tickets are non-refundable, however I messaged Fever through the app saying that I don’t think I could make an event I booked due to the snowy weather we were currently having (as I had to travel a long way). They responded really quick & accepted my reason given the circumstances which made me really appreciative!",Excellent customer service,2018-03-02 23:18:34,4,xtoffeeapplesx,GB
39,False,"{'id': 24440801, 'body': ""Hello! We regret to hear that your experience with us has not been positive. If you're still needing assistance with a purchase, feel free to reach us at customer_satisfaction@feverup.com 😉\u200b\n\nFever Team"", 'modified': '2021-08-11T07:30:18Z'}",Be wary of buying tickets and not reading their list of requirements. I was told nothing can be done about a restaurant booking worth £120 as I accidentally validated the tickets in the app. Be sure to check their FAQ which is the only place you’ll know how to even use the ticket!! Apparently they think the restaurant will not accept a booking with a UNIQUE ticket ID and booking information simply because the tickets were validated in the app.,Be sure to read the hidden fine print,2021-08-09 15:50:37,1,A.W.1111,GB
40,False,"{'id': 25726937, 'body': ""Hey there! We're truly honored by your 5-star rating for our event and service! We have worked very hard at Fever to provide quality experiences, so we're glad to know that our mission has been accomplished 🙌"", 'modified': '2021-10-17T17:55:03Z'}","I’ve been to one event so far by Fever and it was wonderful! The app has so many unique events, I’m on the waitlist for at least 5 😍 Makes finding fun things to do with friends, family, partners etc so much easier.",Great events,2021-10-15 10:42:29,5,RóisínD13,GB
41,False,"{'id': 27682250, 'body': 'Hello! we regret to hear that your experience with us has not been positive. Please reach us at customer_satisfaction@feverup.com so we can reopen your case and offer you a suitable solution! ![](https://backend.growthdot.com/reply-after-this/4250791_6aecc1e4-e174-4efc-aa31-2d9540532b7f.gif)\n\nFever Team', 'modified': '2022-01-26T19:09:08Z'}","If I could give this zero I would, the app doesn’t allow different ticket types so if you have 2 adults and 1 child you have to do 2 different transactions and there is risk the same time might not be available for the 2nd transaction. It’s utterly useless app and they have no answer for this except they working on it, and if you buy the incorrect tickets because there app is useless they refuse to refund you.",Absolutely useless,2022-01-25 12:02:48,1,stbit,GB
42,False,,Do not use this company to buy tickets. They have no customer service to help with any issues (I needed to change the date of a ticket booked and never heard back from my emails or DMs) their phone number doesn’t connect and I am not the only one to have this poor service - just look on the comments of their Instagram posts. Awful. I will never use them again and urge other people not to either!!!,This is a scam,2020-09-02 13:44:27,1,SamC10009888,GB
43,False,,"Their customer service was excellent, they dealt with my enquiry within 24hours and were more than accommodating and understanding. I wouldn’t hesitate to recommend them and will certainly book again in the near future.",Wonderful customer service,2018-06-18 19:34:51,5,vnskgd,GB
44,False,"{'id': 24895828, 'body': 'Thank you so much for such a lovely review!! We are truly happy to hear you find our Fever app so convenient. We hope to see you soon at any of our events ;)', 'modified': '2021-09-03T15:34:01Z'}",I just live Fever so so much! So easy to use! Very user friendly! Great programs! And amazing rewards! The cash back system just makes me want to by entertainment! I wish I have known about this app a long time ago 😍,Best entertainment app ever!,2021-09-01 22:55:45,5,imeon22,GB
45,False,"{'id': 25149766, 'body': 'Hello! We regret to hear that your experience with us has not been positive. Please, contact our Customer Satisfaction department at customer_satisfaction@feverup.com so we can review your case and explore all the solutions for your case. We apologize for the inconvenience! ![](https://backend.growthdot.com/api/mail-tracking/resources/2783152_22b641d7-bde4-40ce-8be5-d40435758927.gif)\n\nFever Team', 'modified': '2021-09-16T21:20:46Z'}","Please advise why the only option to see purchased tickets is through the app, why I can only use Facebook or Google to log in the app, why I can only contact support through Facebook? I would really like the possibility to access my purchased tickets without going through so much trouble. Or be given the possibility to buy the tickets with “likes” instead of real money.  Thank you!",May I please have some rights?,2021-09-14 18:34:48,1,bdjdhfvrh,GB
46,False,"{'id': 25349148, 'body': 'Hello, Sylvia. Thank you so much for your 5-star review for our service. We are obsessed to maintain this line and keep providing our users the support they deserve.', 'modified': '2021-09-27T15:19:05Z'}","I have found several brilliant and atypical events in london through fever, their customer service has always been brilliant at dealing with my queries  especially Miguel today!",Great customer service and fab platform,2021-09-25 15:33:53,5,Sylvia44500,GB
47,False,"{'id': 21770852, 'body': 'Hello Sue, We are very sorry for the inconveniences caused, we are experiencing a high volume of contacts and our reply times have been impacted. We appreciate your patience and understanding. We remain at your disposal if you need anything else. Kind regards', 'modified': '2021-03-20T11:55:54Z'}","Had to change tickets dates due to COVID, the instructions Fever sent me didn’t work. I queried but had no reply for two weeks, even after 4 messages sent via the website. Finally they did reply and all was fine, but it was very frustrating.",Very slow response to changing tickets,2021-03-11 20:29:49,3,SueLovey,GB
48,False,"{'id': 25726129, 'body': ""Hello! We apologize for the inconveniences caused by the cancellation of your event. We're glad to receive this kind of feedback as it helps us improve our service. We’ll strive to do better 💪"", 'modified': '2021-10-17T16:01:39Z'}","Booked tickets for an event through this app. The event got rescheduled on the day to months later due to venue - fine, it’s happens.
Then get to the new date and was given the wrong address via email so missed the event. They were unresponsive and took several emails chasing them and chasing them over 6-8 weeks to get them to refund me my money
I would recommend thinking twice before booking events through this app",Do not trust,2021-10-07 16:14:35,1,Cheedez,GB
49,False,"{'id': 25211595, 'body': 'Hello, at Fever, we aim to give you more events that meet your standards, so we hope to see you soon ❤️ Thanks for the kind review! ![](https://backend.growthdot.com/reply-after-this/2835151_13c52b96-3f59-4c6a-ba07-459e588811f8.gif)\n\nFever Team', 'modified': '2021-09-20T15:23:27Z'}","A bit thank you from our family to Fever for helping us out, and resolving our dilemma!  Especially from our pup 😉
Nice to see that such service still carries a human touch !",Amazing customer service,2021-09-19 10:05:43,5,Obesyanka,GB
50,False,"{'id': 23863601, 'body': ""Thank you for such a positive review, Olivia! We're thrilled to hear that your experience with us has been this positive :) See you soon in future Fever plans :)\n\nFever Team"", 'modified': '2021-07-11T15:42:44Z'}",Amazing app for fun and different things to do. Love that you get credit towards further purchases when you buy experiences through the app. Customer service team are so helpful and prompt with responding.,Great App,2021-07-10 10:09:57,5,Olivia Kilcoyne,GB
51,False,"{'id': 23212126, 'body': 'Thank you so much for your 5-star review! We will share this with our team to let them know to keep up the amazing work.\nAt Fever, we are always available to help you out with any doubt. :)', 'modified': '2021-06-05T16:17:41Z'}","I had a query and was impressed with the friendly, quick and effective support I received. I was able to speak to one of the Fever team and they them followed up by email. Thanks !",Great Support,2021-06-04 11:15:48,5,Rob June 21,GB
52,False,"{'id': 7762288, 'body': 'Hello, We are really sorry you had issues with the app :(  Please feel free to email us at hello@feverup.com so we can help you out! We are looking forward to your email. Kind regards,  Fever Team', 'modified': '2019-03-16T14:17:34Z'}","I don’t know who are all those happy customers with 5 star reviews. I got in a very bizarre situation. It has never ever happened to me before with any other app. And I have seen many. Was charged twice for total amount of 20£ and as a result never saw my tickets. I have tried to contact support they tell different stories every time, promise to contact me by email which never happened. Have no idea what to do next- apple app resolution centre??",Beware of double charges and no refund,2019-03-14 20:00:10,1,AnaitLondon,GB
