,userName,rating,isEdited,title,developerResponse,review,date,country
18,Waldmann,5,False,Ok,"{'id': 23649881, 'body': 'Merci pour votre commentaire si positif! Nous sommes ravis que votre expérience avec nous vous ait plu. Nous vous recommandons de rester attentifs sur notre application Fever concernant les événements et les opportunités similaires.\n\nFever Team', 'modified': '2021-06-29T09:31:42Z'}",Un arrangement a pu être trouvé suite à un incident sur les dates du spectacle choisi et j’ai pu me rabattre sur le panel intéressant d’événements proposés par le site.,2021-06-25 16:48:23,FR
19,clemmnd,1,False,Arnaque totale,"{'id': 24523709, 'body': ""Bonjour,\n\nNous sommes navrés pour les désagréments causés. Nous vous invitons à contacter nos équipes à l'adresse suivante customer_satisfaction@feverup.com afin que nous puissions de nouveau analyser votre demande et vous apporter une solution dans les plus brefs délais.\n\nBien à vous,"", 'modified': '2021-08-16T08:54:20Z'}","Fever on est comment sur les droits de vos clients ? 1 an qu’on repousse un événement (motif Covid donc compréhensible). Puis on choisi une nouvelle date, vous annulez au dernier moment sans motif valable et imposez une nouvelle date 3 mois après ? Évidement nous ne sommes pas disponibles à la date que nous n’avons pas choisi mais vous refusez de rembourser et voulez imposer un avoir dont nous ne voulons pas. Donc en résumé vous ne fournissez pas la prestation payée mais vous refusez de rembourser ? Un bien bel exemple d’arnaque où seul votre petit profit est prioritaire. De quoi donner envie de réserver des événements chez vous ! Bravo pour cette belle mentalité ! 👏",2021-08-14 19:48:16,FR
20,pierrechaud,5,False,Super,"{'id': 9673996, 'body': ""Bonjour Pierre, Merci beaucoup pour tes 5 étoiles! Fever te permet déjà de filtrer les événements par catégorie, quartier et date, mais nous allons transférer ta suggestion au service approprié pour pouvoir continuer à améliorer l'appli. :) Merci d'utiliser Fever! Bien à toi,  Fever Team"", 'modified': '2019-07-15T21:45:39Z'}",Application utile . Peut être mettre les annonces d’évènements en fonction de la localisation de la personne.,2019-07-14 15:03:02,FR
21,soso7899,5,False,RAS,,"Appli magnifique, ergonomique, intuitive je n’en connais pas bcp comme cela mais rien que le visuel est très très bien fait. On dit toujours quand ça ne va pas mais faut dire quand c’est 👍🏾",2018-11-11 23:14:37,FR
22,AliceDecat,1,False,Service client terrible,"{'id': 16975183, 'body': ""Bonjour Alice,\r\nNous sommes désolés que tu aies eu une mauvaise expérience :( \r Nous t'avons répondu le 3 juillet et proposé une solution, malheureusement nous n'avons pas reçu ton retour avant la date de l'événement réservé. Nous essayons toujours d’aider nos utilisateurs autant que possible, mais nous devons aussi respecter les politiques de l'entreprise et de nos partenaires.\nNous restons à ta disposition si tu as besoin d'autre chose.\nBien à toi,\nFever Team"", 'modified': '2020-07-30T09:19:21Z'}","Très déçue du service client de l’app. J’achète régulièrement des expériences et lors d’une mauvaise manip ayant booke 2 fois, j’ai tenté de demander un remboursement, un crédit ou la possibilité de refaire l’expérience. J’ai contacté tous les jours sans réponse à mon problème et en me répondant à la fin que j’avais contacté après l’expérience et qu’il était donc trop tard (ce qui est faux). Un service client qui fait passer le client pour un menteur = le pire qui puisse exister.",2020-07-23 11:22:55,FR
23,toujoursaujourd'hui,1,False,Pire système,"{'id': 11932389, 'body': ""Bonjour,\nNous sommes désolés pour cette mauvaise expérience :( Normalement il suffit de montrer ton ticket dans l'appli pour profiter d'un événement. Si tu as des questions sur le fonctionnement de Fever, n'hésite pas à nous contacter par email, chat ou téléphone, nous serons ravis de t'aider! :)\nBien à toi,\nFever Team"", 'modified': '2019-11-19T13:21:35Z'}","C’est le pire système que j’ai utilisé pour acheter des billets. N’ayant plus de place sur mon téléphone j’ai téléchargé l’application sur mon iPad, mon billet a bien été validé, Et je me le suis envoyé par mail. Malheureusement à l’entrée je n’avais pas mon iPad avec moi,  car je ne vais pas danser avec, Mais seulement mon téléphone avec le billet qui n’était pas cliquable. Donc problème jusqu’à ce qu’une personne se décide finalement à sortir une liste sur laquelle il y avait bien mon nom.
Quel intérêt d’obliger les gens à télécharger une application pour aller a une soirée?",2019-11-01 19:38:47,FR
24,mgoguery,5,False,Super service et expérience client!,,Une bonne appli pour trouver des plans intéressants! De plus un service client au top très réactif par chat puis par mail!,2018-05-13 19:40:46,FR
25,Ze Nikko,1,False,"Show annulé, argent gardé.","{'id': 21733770, 'body': ""Bonjour Nicolas,\nNous sommes désolés pour les désagréments que les changements dûs aux restrictions gouvernementales aient pu te causer.\nCependant, nous avons vérifié ton dossier et constatons que nous t'avons confirmé le remboursement de tes tickets le 30 novembre, soit le jour même de ta première demande, et celui-ci a bien été effectué dans les 10 jours suivants.\nL'avoir qui avait été émis dans un premier temps était bien du montant total de ton achat (200€), le coupon de 20€ dont tu parles correspond au montant de ton porte-monnaie du club Fever dont tu as bénéficié en effectuant l'achat. ;)\nNous restons à ta disposition si nécessaire.\nBien à toi,"", 'modified': '2021-03-18T12:59:42Z'}","Voir les avis sur TrustPilot. 

Réservation mi octobre pour un show le 6 novembre, valeur des 5 tickets 200€, le confinement tombe entre temps, nous recevons un mail nous informant qu’une nouvelle date sera communiqué. Comme BEAUCOUP d’autres utilisateurs nous n’avons ensuite plus eu de nouvelles et j’ai appris aujourd’hui en les relançant que le show est annulé. Et que royalement en dédommagement ils offrent un coupon de 20€. 
Je comprends les restrictions d’annulation quand elles viennent du client, mais la elles viennent du prestataire qui en plus de garder l’argent n’offre même pas un avoir de la somme payée. Une aumône de 10%
Nous allons également saisir un association de consommateurs.",2020-12-08 12:56:10,FR
26,Rderosa,4,False,A rajouter un Calendrier,"{'id': 9136999, 'body': ""Bonjour, Merci pour ton commentaire! Fever te permet déjà de filtrer les événements par catégorie, quartier et date (aujourd'hui, demain, cette semaine, ce week-end...) mais nous allons transférer ta suggestion pour de futures versions de l'appli au service approprié. Merci de nous aider à améliorer Fever encore un peu plus! :) Bien à toi,  Fever Team"", 'modified': '2019-06-12T20:53:58Z'}","Il serait interessant et pratique du rajouter un calendrier afin de voir quels sont les événements disponibles à quelles dates, et voir par exemple ce qui est prévu pour les jours à venir, ou week-ends.",2019-06-05 10:19:35,FR
27,geraldine.charbonneaux,1,False,"Grosse arnaque, aucun service client en cas de problème",,"J’ai fais 1 réservation, et je me suis trompé de date d’un jour. J’ai écris, appelé et utilisé le chat en moins de 24h…mais chaque service renvois sur un mail qui ne répond pas pour vous laissez sans réponse. Je sais que les conditions sont strictes, mais dans la loi de paiement informatique, j’ai 7 jours pour me rétracter. Sachant que j’ai réagis en moins de 24h, le service client vous laisse sans réponse au delà des 7 jours pour ne pas vous trouver de solution. Grosse arnaque. A ne pas conseiller dans un monde digital de customer centric, ils sont totalement à côté.",2022-02-06 13:20:55,FR
28,Hasan_nr,5,False,Super réactif et bon accueil,"{'id': 15300345, 'body': ""Bonjour Hasan, Un grand merci pour tes 5 étoiles et ton commentaire! :) Nous travaillons dur pour offrir le meilleur service à nos utilisateurs, et nous sommes ravis de savoir que nous sommes sur la bonne voie. N'hésite pas à nous contacter si tu as la moindre question... ;) Merci d'utiliser Fever! Bien à toi, Fever Team"", 'modified': '2020-05-13T16:27:08Z'}","Bonjour,

C’est une belle entreprise, ils sont réactifs, (répondent à tout heure), bon accueil.
C’est vraiment une entreprise de réservation de loisirs auquel je peux conseiller à tout le monde, ils ont un très bon service client.",2020-05-07 13:47:44,FR
29,stopfever,1,False,Stopfever,"{'id': 26858168, 'body': '""Bonjour,\n\nNous sommes sincèrement navrés par cette incidence. Votre cas a peut-être été mal analysé. Pourriez-vous s\'il vous plaît nous contacter à cette adresse mail: customer_satisfaction@feverup.com afin d\'analyser de nouveau votre cas et de vous apporter une meilleure satisfaction?\nEn attente de votre mail à cette adresse mail :) ""', 'modified': '2021-12-15T20:05:42Z'}","Quelle arnaque. Quand vous appuyez sur commander et que votre carte est préenregistrée, cela ne vous demande aucune confirmation, c’est payé. J’ai appuyé par erreur sur commander du coup je me suis retrouvé à avoir une place dont je ne voulais pas. Quand j’ai contacté le dite en expliquant mon erreur et que je voulais changer pour une autre date, ils m’ont juste répondu, c’est comme ça on ne rembourse pas. 
Valider une commande sans demander la moindre confirmation est à la limite de la légalité. C’est une arnaque",2021-12-12 11:14:44,FR
30,Draw it if u CAN !,5,False,Excellente en tout point !,"{'id': 26256165, 'body': 'Bonjour,\n\nMerci pour votre commentaire ! Nous sommes heureux que notre application Fever vous plaise tant 😄\u200b\n\nBien à vous, ![](https://backend.growthdot.com/reply-after-this/3495007_adfa0d48-f293-4367-83ec-60a981a4fb3b.gif)\n\nFever Team', 'modified': '2021-11-14T13:19:12Z'}",Enfin une app digne de 2021,2021-11-12 18:11:47,FR
31,NicolasMagnet,5,False,Cool!,"{'id': 16565167, 'body': ""Bonjour Nicolas,\nMerci pour ta note et ton commentaire! Nous sommes ravis que l'appli te plaise :) Nous transmettons ta suggestion au service concerné pour pouvoir continuer à nous améliorer. Merci d'utiliser Fever!\nBien à toi,\nFever Team"", 'modified': '2020-07-12T11:49:20Z'}",Super app. Il serait super de pouvoir mettre ses billets dans l’application Wallet de l’iPhone ❤️,2020-07-09 09:10:00,FR
32,Barreaudechaise,1,False,Des choses à revoir,"{'id': 25273975, 'body': ""Bonjour, nous sommes navrés que cette expérience n'ait pas été positive pour vous. Veuillez contacter avec notre équipe de Satisfaction du Client via customer_satisfaction@feverup.com, afin que nous puissions traiter votre cas particulier et trouver une solution.\n\nFever Team"", 'modified': '2021-09-23T10:12:39Z'}","L’année dernière j’ai offert 3 coupons pour candlelight en vu d’une soirée en famille … 
J’ai voulu réserver aujourd’hui et quelle galère… je dois faire un ticket par un ticket pour réserver. Transformer mon coupon en un code etc et en plus meme en faisant un par un une fois sur deux ça marchait pas, j’ai du passer une fois par PayPal, une fois par CB pour valider l’achat (10€ en plus de mon coupon initial) bref pourquoi ce n’est pas possible d’avoir plusieurs billets dans son panier et de rentrer au fur et à mesure les codes ? Comprends pas votre logique.
A revoir",2021-09-21 19:02:08,FR
33,Ralfotos75018,5,False,Topissime,"{'id': 8177188, 'body': ""Bonjour, Merci beaucoup pour tes 5 étoiles! Nous adorons recevoir ce type de commentaires :) Garde un oeil sur l'appli pour ne pas louper tous les bons plans qui t'attendent! Bien à toi,  Fever Team"", 'modified': '2019-04-11T19:43:34Z'}","Sans équivalent sur le marché des bon plans, de bonnes idées d’activités!",2019-04-10 08:04:26,FR
34,Ptitepaolita,1,False,Arnaque !,,Prélèvent ta carte bancaire sans que tu le veuilles lors d’un changement de billets au lieu d’utiliser le coupon et tout cela sans que tu es rentré à nouveau tes coordonnées ! Je suis écœurée de cette application et de plus ils ne répondent même pas aux messages.,2020-11-02 20:55:10,FR
35,Cecilia78400,5,False,Service client au top,"{'id': 8450626, 'body': ""Bonjour Cecilia, Merci beaucoup pour cette super note! Nous travaillons dur pour offrir le meilleur service à nos utilisateurs, et nous sommes ravis de savoir que nous sommes sur la bonne voie! :) N'hésite pas à nous contacter si tu as la moindre question, et reste attentive à l'appli, nous ajoutons de nouveaux plans tous les jours... ;) Merci d'utiliser Fever!  Bien à toi,   Fever Team"", 'modified': '2019-04-30T14:16:02Z'}",Ultra réactif et disponible même le dimanche !,2019-04-23 06:11:32,FR
36,MaevaPelage,5,False,Service très pro,"{'id': 13993657, 'body': ""Bonjour Maeva,\nMerci beaucoup pour tes 5 étoiles et ton commentaire! :) Nous travaillons dur pour offrir le meilleur service et les meilleurs plans à nos utilisateurs, et nous sommes ravis de savoir que nous sommes sur la bonne voie!\nN'hésite pas à nous contacter si tu as la moindre question, et reste attentive à l'appli, nous ajoutons de nouveaux plans tous les jours... ;)\nMerci d'utiliser Fever!\nBien à toi,\nFever Team"", 'modified': '2020-03-11T22:12:49Z'}","Un service client très professionnel, réactif et rapide, une appli au top et des évènements qui donnent envie !",2020-03-04 08:28:06,FR
37,sarra sarrita,1,False,Nul !,,"Premier ticket acheté, l’évènement a été décalé à une date ultérieure sans possibilité de se faire rembourser. On peut apparement choisir une autre date mais où quoi comment ? On y pige rien… le support répond 2 ans après pour nous dire que c’est comme ça. 
De l’argent jeté par la fenêtre merci fever
Franchement éviter d’utiliser cette application. Allez acheter directement vos billet sur un site ou sur place au moins vous serez sur d’en avoir pour votre argent. 😡😡😡😡",2021-08-02 16:05:32,FR
38,trailyon,2,False,Ergonomie compliquée,"{'id': 13584754, 'body': ""Bonjour,\r\nNous sommes désolés que tu n'aies pas aimé l'appli :(\r Tu peux filtrer les événements par catégorie, quartier et date, à l'aide du bouton Filtres qui figure sur la page d'accueil.\n\nN'oublie pas que nous sommes à ta disposition par email, chat et téléphone 7j/7 si tu as des questions :)\nBien à toi,\nFever Team"", 'modified': '2020-02-19T14:35:11Z'}","Difficile de naviguer dans l’application, il n’y a pas de filtres, de catégories. Bref ca semble plaire a certains moi je suis perdu. Cerise sur le gateau, vous proposez un bouton supprimer le compte qui ne fait qu’afficher une popup pour envoyer un mail. C’est frustrant.",2020-02-18 09:20:26,FR
39,Naphto63,1,False,Arnaque,"{'id': 27466532, 'body': ""Bonjour,\n\nNous sommes navrés que votre expérience n'ait pas été à la hauteur de vos attentes. En cas de besoin, nos équipes peuvent vous guider pour compléter votre réservation à salut@feverup.com 😉\u200b\n\nBien cordialement, ![](https://backend.growthdot.com/reply-after-this/4093672_df82b36a-c840-492e-a0ed-e98614c86dc1.gif)\n\nFever Team"", 'modified': '2022-01-16T13:56:39Z'}","Surtout n’installez pas cette application c’est une véritable arnaque. Vous payez plus de 100 euros pour faire une activité : déjà le porte monnaie fever ne fonctionne pas pour réduire le prix, ensuite le support ne répond jamais et quand vous les appelez par téléphone ils vous raccrochent au nez, mais surtout vous recevez un e-mail vous indiquant comment réserver, sauf qu’ils ne vous envoient pas le code que vous avez payer et qui permet de réserver sur le site partenaire ! Donc vous payez des centaines d’euros pour rien.",2022-01-08 10:26:21,FR
40,duclan34,5,False,Service à l’écoute,"{'id': 9136880, 'body': ""Bonjour, Un grand merci pour tes 5 étoiles! Nous faisons le maximum pour offrir le meilleur service à nos utilisateurs, et ton commentaire nous fait très plaisir :) Merci d'utiliser Fever! Bien à toi,  Fever Team"", 'modified': '2019-06-12T20:34:07Z'}",Service client aimable et efficace,2019-05-31 09:03:27,FR
41,Emie_malice,5,False,Rien à dire,"{'id': 8450619, 'body': 'Bonjour, Un grand merci pour cette super note! Nous faisons le maximum pour offrir le meilleur service et les meilleurs plans à nos utilisateurs, et ton commentaire nous fait très plaisir! :) De nouveaux événements sont ajoutés tous les jours, alors reste attentive et ne manque pas tous les bons plans que nous avons dénichés! ;) Bien à toi,  Fever Team', 'modified': '2019-04-30T14:15:42Z'}","C’est une superbe application pour faire des sorties et activités. Lorsque l’on se pose des questions, ils y répondent rapidement. Je recommande!!",2019-04-01 17:56:25,FR
42,Lizazette,5,False,Au top !!,"{'id': 26074763, 'body': 'Nous vous remercions pour votre commentaire de 5 étoiles ! Nous sommes ravis de savoir que votre expérience avec notre service client vous ait plu ![](https://backend.growthdot.com/reply-after-this/3381251_0b760303-69ad-45cc-b1d7-a7901302ea32.gif)\n\nFever Team', 'modified': '2021-11-04T09:14:12Z'}","Très bonne appli. De +, super réactivité de la part de l’équipe Fever en cas de souci.",2021-11-03 00:54:44,FR
43,Romain29120,5,False,Utile et avantageux,"{'id': 12142551, 'body': ""Bonjour Romain,\nMerci beaucoup pour tes 5 étoiles! Nous sommes ravis que l'appli te plaise :)\nReste attentif pour ne pas louper tous les bons plans qui t'attendent! ;)\nMerci d'utiliser Fever!\nBien à toi,\nFever Team\n"", 'modified': '2019-12-01T16:58:01Z'}",Utile pour avoir des idées de sortie et avantageux pour les promos et le cashback,2019-11-26 01:31:38,FR
44,Christophe de B.,2,False,Code invalide,"{'id': 8450605, 'body': ""Bonjour Christophe!\nNous sommes vraiment désolés que tu aies rencontré un problème technique avec ton code.\nNous sommes à ta disposition pour t'aider si tu as le moindre souci, n'hésite pas à nous contacter!\nBien à toi,  Fever Team"", 'modified': '2019-04-30T14:15:07Z'}",Je pensais que Fever était simple à utilisé mais en fait non. L’application génère de faux codes de reducs et les distribue à ses membres. Résultat: 20 mn d’investigation pour comprendre qu’il manque une lettre dans un des codes commandés. J’imagine ne pas être le seul concerné vu qu’il s’agit de codes générés. Le sav s’est excusé: merci à eux vraiment car sans ça je pense que j’aurai passé une mauvaise journée ! Des applis de bons plans yen a un paquet donc je lâche celle-ci.,2019-01-20 12:19:08,FR
