,review,userName,isEdited,date,title,rating,developerResponse,country
21,Los mejores planes los encuentro aquí,FerCarrera,False,2021-06-13 19:53:39,Excelente App,5,"{'id': 23417314, 'body': 'Gracias por tu reseña, Fer! En Fever, trabajamos incansablemente para ofrecer a nuestros usuarios con la mayor variedad de opciones en cuanto a ocio, por lo que nos complace oír tu opinión positiva sobre nuestra app.', 'modified': '2021-06-16T10:46:27Z'}",MX
22,"NO COMPREN BOLETOS!!!!! Es una estafa solo te roban me cancelaron y “te agendaron el concierto” y ya me hicieron perdidos mis boletos ya ni siquiera tengo cuenta de usuario, me la borraron. Y la misma aplicación te hace hacer una nueva y luego se lavan las manos diciendo que podría ocurrir eso.",edmundo gabriel gutierrez,False,2021-07-01 07:34:55,NO COMPREN BOLETOS,1,"{'id': 23726661, 'body': 'Hola, Edmundo. Sentimos mucho que no hayas tenido la mejor experiencia con nosotros. Nos hemos puesto en contacto para solucionar tu incidencia. ¡Saludos!\n\nFever Team', 'modified': '2021-07-03T21:11:34Z'}",MX
23,Los costos son excesivos para lo que recibes. No lo intentes checa bien!!,jayluisrock,False,2021-06-30 05:41:30,TERRIBLE,1,"{'id': 23724446, 'body': 'Hola, Jay. Muchas gracias por compartir tu reseña. Sentimos que no te sientas a gusto con nuestro servicio, pero trabajaremos para aportar planes de todos los tipos y costes. Te esperamos en alguno de nuestros eventos. Saludos.\n\nFever Team', 'modified': '2021-07-03T14:37:17Z'}",MX
24,"Es una tranza. Ya hay información en google al respecto. Me la aplicaron, compré boletos, reagendaron el evento, luego cancelan y te ofrecen tu dinero en bono para comprar más boletos (de eventos que NO se van a hacer). Pedí mi reembolso y llevo 2 meses escribiéndoles diario.",Guapilator,False,2021-06-28 23:44:45,Tranza,1,"{'id': 23716291, 'body': '¡Hola! Lamentamos que tu experiencia con nosotros no haya sido la que te mereces. ¿Podrías contarnos un poco más de tu caso en customer_satisfaction@feverup.com? ¡Gracias!\n\nFever Team', 'modified': '2021-07-02T17:08:04Z'}",MX
25,"Sinceramente muy pocas aplicaciones de eventos sirven también como está, FEVER no sólo tienen los mejores eventos si no la opción más rápida para acceder a ellos.",Victoria Colmenares3,False,2021-05-24 05:01:55,Amante de esta aplicación,5,"{'id': 23199386, 'body': 'Hola Victoria! Muchas gracias por tu reseña (: Estamos muy felices de que estés disfrutando de nuestra aplicación Fever. Siempre estamos trabajando para ofrecer los mejores y más originales planes (: Un saludo!', 'modified': '2021-06-04T13:47:00Z'}",MX
26,Tengo problemas al realizar un pago pongo mis datos de la tarjeta y este los rechaza no se si sea por el C.P. que sepa yo es código postal pero no se si en esta app tenga otro significado.,geragux,False,2021-06-08 18:46:12,Buena,4,"{'id': 23308324, 'body': 'Hola! Lamentamos que estés teniendo problemas para realizar una compra. En estos casos, usualmente hay problemas con el banco en específico, ya que no solemos tener problemas de pago. Por favor intenta hacer tu compra con un método de pago diferente, como otra tarjeta de crédito o PayPal. Lamentamos las inconveniencias!', 'modified': '2021-06-10T12:15:38Z'}",MX
27,Deberían de ponerla en la CDMX pues es una de las más grandes del mundo.,AdrianC.Cohen,False,2018-01-06 23:01:48,MEXICO,5,,MX
28,Me cancelaron un concierto de candlelight el mismo día sin avisar y no me regresan aún mi dinero. Y si centro de atención a clientes malísimo.,Alvarofap,False,2021-05-12 22:50:44,Roban.,1,"{'id': 22830465, 'body': 'Hola Alvaro, sentimos mucho que te sientas así. Por favor si no te sientes satisfecho con la solución brindada contáctanos nuevamente con tu requerimiento y te ayudaremos lo más pronto posible. Nuestro equipo de atención al cliente está trabajando arduamente para atender todas las incidencias. Un saludo!', 'modified': '2021-05-16T13:47:02Z'}",MX
29,"Los eventos se ven muy interesantes, pero la app no me permite la compra de tickets... una lástima.",AleMer5,False,2021-03-04 19:22:19,No se pueden comprar tickets,2,"{'id': 21592558, 'body': 'Hola!\n\nLamentamos que tengas problemas con la App.\n\nTe dejamos algunos consejos que resuelven este tipo de errores:\n\nAsegúrate siempre de tener la última versión de la app, ya que en ella se habrán arreglado pequeños errores que contenía la anterior. Acude a la store donde te descargas las app de tu teléfono, busca Fever, y comprueba si puedes actualizar la versión que ya tienes instalada.\n\nCierra sesión en la app y vuelve a abrirla (lo puedes hacer desde ""Ajustes"" y después ""Salir""). Acto seguido, sal de la aplicación y vuelve a entrar.\n\nSi te sigue dando problemas, reiniciar el teléfono siempre ayuda a borrar procesos que se han quedado colgados.\n\nRecuerda que siempre puedes contactarnos a hola@feverup.com y estaremos encantados de ayudarte :)\n\nUn saludo,', 'modified': '2021-03-11T14:52:04Z'}",MX
30,"I love this app!! It have a lot of good activities and prices, the attention service are good and if i have any question about any activities I can ask to a live chat and they will answer me fast. 
Good app.",AleAvaG1988,False,2017-01-05 14:35:10,The best,5,,MX
31,"I really like this app, you could find...",Xavll,False,2016-05-22 14:19:02,Excellent,5,,MX
32,Amazing!,Ti TaL,False,2016-01-16 11:24:22,Lovely!,5,,MX
33,"He venido de muy lejos y me ofrece muchas facilidades para conocer amig@s de aquí de Barcelona y de todo el mundo, además de los mejores descuentos. ¡Aplicación champagne!",Héctor Alcaraz,False,2015-10-07 20:11:10,¡Extraordinaria aplicación!,5,,MX
34,Descubres nuevos sitios y siempre tienes algún plan para hacer :),Lorena Martí,False,2015-09-04 19:39:39,Muy útil !!,5,,MX
35,Felicidades buena app,Ricky Trujeque,False,2015-07-05 21:32:18,Buena app,5,,MX
36,"Leí una historia muy divertida ocasionada por fever, me encantaría probarlo en mi ciudad. :)",Nicole Reyes Lerma,False,2014-12-05 02:54:36,MEXICOOOOOOO,5,,MX
